Unnamed: 0,event_id,event_title,event_slug,event_start,event_end,market_id,question,market_slug,market_type,active,closed,enable_order_book,clob_token_ids,priority_tier,analysis_category,selection_rationale
635,708602,Spain vs. Argentina - Halftime Result,fifwc-esp-arg-2026-07-19-halftime-result,2026-07-16T02:53:15.3804Z,2026-07-19T19:00:00Z,2942004,Spain vs. Argentina: Draw at halftime?,fifwc-esp-arg-2026-07-19-halftime-result-draw,soccer_halftime_result,True,False,True,"[""55534690741590152916803799347245209373571978987049575285043457531284537719480"", ""82049642666299749350751413177958219988628930265531855056246225148910944146356""]",1,event_timing,Useful for measuring repricing around goals and halftime.
684,708641,Spain vs. Argentina - More Markets,fifwc-esp-arg-2026-07-19-more-markets,2026-07-16T03:06:52.884617Z,2026-07-19T19:00:00Z,2945085,Spain vs. Argentina: 1st Half O/U 0.5,fifwc-esp-arg-2026-07-19-first-half-total-0pt5,first_half_totals,True,False,True,"[""98788592494598149998650102899674298468012255258943672389692097320213510544449"", ""76765811238905050379447258681379555994437711357729660383833414638328121550927""]",1,goal_ladder,Threshold ladder reveals cross-market consistency after goals.
690,708641,Spain vs. Argentina - More Markets,fifwc-esp-arg-2026-07-19-more-markets,2026-07-16T03:06:52.884617Z,2026-07-19T19:00:00Z,2945091,Spain vs. Argentina: Argentina O/U 0.5,fifwc-esp-arg-2026-07-19-team-total-away-0pt5,soccer_team_totals,True,False,True,"[""83846396984989136712249171694516589660710828822197605918114090178164988652770"", ""49278646525431166950704568331918006098194671187372033940712950274925104777399""]",1,goal_ladder,Threshold ladder reveals cross-market consistency after goals.
691,708641,Spain vs. Argentina - More Markets,fifwc-esp-arg-2026-07-19-more-markets,2026-07-16T03:06:52.884617Z,2026-07-19T19:00:00Z,2945092,Spain vs. Argentina: Argentina O/U 1.5,fifwc-esp-arg-2026-07-19-team-total-away-1pt5,soccer_team_totals,True,False,True,"[""49657094344563222660567315070048602673827083966340534481179981823001492001584"", ""95300686560893239916040907573612912175387748576823220492295166298077861821221""]",1,goal_ladder,Threshold ladder reveals cross-market consistency after goals.
682,708641,Spain vs. Argentina - More Markets,fifwc-esp-arg-2026-07-19-more-markets,2026-07-16T03:06:52.884617Z,2026-07-19T19:00:00Z,2945083,Spain vs. Argentina: Both Teams to Score,fifwc-esp-arg-2026-07-19-btts,both_teams_to_score,True,False,True,"[""43400327584658432314631806325041229967848913385037627203899950879363399512175"", ""26086477339270164470484984523102108367508939325488072884563308690155488440387""]",1,goal_ladder,Threshold ladder reveals cross-market consistency after goals.
670,708641,Spain vs. Argentina - More Markets,fifwc-esp-arg-2026-07-19-more-markets,2026-07-16T03:06:52.884617Z,2026-07-19T19:00:00Z,2942074,Spain vs. Argentina: O/U 0.5,fifwc-esp-arg-2026-07-19-total-0pt5,totals,True,False,True,"[""95825958363807846699086525334115004140149075455134418888294284834103444139805"", ""100899066788087264896991245177978653395891419153169248929857538839728453964270""]",1,goal_ladder,Threshold ladder reveals cross-market consistency after goals.
671,708641,Spain vs. Argentina - More Markets,fifwc-esp-arg-2026-07-19-more-markets,2026-07-16T03:06:52.884617Z,2026-07-19T19:00:00Z,2942075,Spain vs. Argentina: O/U 1.5,fifwc-esp-arg-2026-07-19-total-1pt5,totals,True,False,True,"[""76487730613685673778526503275712730145438196914922669236000206527286181327605"", ""94444460094130059478461527758124284936643092317254702208374627453626023521088""]",1,goal_ladder,Threshold ladder reveals cross-market consistency after goals.
672,708641,Spain vs. Argentina - More Markets,fifwc-esp-arg-2026-07-19-more-markets,2026-07-16T03:06:52.884617Z,2026-07-19T19:00:00Z,2942076,Spain vs. Argentina: O/U 2.5,fifwc-esp-arg-2026-07-19-total-2pt5,totals,True,False,True,"[""96709369199155811896412708963452696003757852418260689931259227822622759089946"", ""62079784984413523345650422563713547632559798516317866687864953356087521248390""]",1,goal_ladder,Threshold ladder reveals cross-market consistency after goals.
673,708641,Spain vs. Argentina - More Markets,fifwc-esp-arg-2026-07-19-more-markets,2026-07-16T03:06:52.884617Z,2026-07-19T19:00:00Z,2942077,Spain vs. Argentina: O/U 3.5,fifwc-esp-arg-2026-07-19-total-3pt5,totals,True,False,True,"[""55402626476150628336189573790876489866083310387667065204313831315980903668019"", ""79463031754212872590735327726896748721117002882760315528874275622377644753131""]",1,goal_ladder,Threshold ladder reveals cross-market consistency after goals.
687,708641,Spain vs. Argentina - More Markets,fifwc-esp-arg-2026-07-19-more-markets,2026-07-16T03:06:52.884617Z,2026-07-19T19:00:00Z,2945088,Spain vs. Argentina: Spain O/U 0.5,fifwc-esp-arg-2026-07-19-team-total-home-0pt5,soccer_team_totals,True,False,True,"[""100355410528829167351369310476973510907896128009743831751362377462177827859431"", ""5811351223424086036323155994457479563772669983054060850770124909757590616584""]",1,goal_ladder,Threshold ladder reveals cross-market consistency after goals.
